year,category,state,pledge_total,pledge_avg,goal_total,goal_avg,count,backers
2012,Theater,failed,652802.84,1182.613841,11582865.7,20983.45236,552,8427
2012,Theater,successful,6148369.56,5184.122732,5388253.69,4543.21559,1186,82586
2013,Art,canceled,105323.25,601.8471429,3448892.68,19707.95817,175,2007
2013,Art,failed,1307448.34,840.2624293,40122339.55,25785.56526,1556,19972
2013,Art,successful,11342968.55,6767.880996,8652156.61,5162.384612,1676,148572
2013,Comics,canceled,158011.16,1663.275368,1331654.63,14017.41716,95,2876
2013,Comics,failed,811900.48,1462.883748,8614551.11,15521.71371,555,15849
2013,Comics,successful,11416915.17,15304.17583,4798368.71,6432.129638,746,226938
2013,Crafts,canceled,14891.26,513.4917241,369800.11,12751.72793,29,254
2013,Crafts,failed,148445.49,631.6829362,2038017.6,8672.415319,235,2611
2013,Crafts,successful,1415412.96,6552.837778,684721.88,3170.008704,216,22840
2013,Dance,canceled,5899.69,536.3354545,157556.33,14323.30273,11,85
2013,Dance,failed,129804.55,927.1753571,1116367.82,7974.055857,140,2087
2013,Dance,successful,2110393.99,5481.542831,1865207.44,4844.694649,385,26213
2013,Design,canceled,1358504.03,3784.133788,12998245.19,36206.81111,359,17781
2013,Design,failed,5638743.64,3734.267311,50632708.13,33531.59479,1510,68967
2013,Design,successful,59326366.78,48788.13058,20371358.44,16752.76188,1216,785101
2013,Fashion,canceled,352022.08,1448.650535,5111929.96,21036.74881,243,4277
2013,Fashion,failed,1649365.34,1228.120134,21273547.49,15840.31831,1343,22538
2013,Fashion,successful,16019146.9,21794.75769,7176439.65,9763.863469,735,213631
2013,Film & Video,canceled,2276370.44,3238.080284,73612005.18,104711.2449,703,17594
2013,Film & Video,failed,10783211.26,2284.094738,327450349.5,69360.37904,4721,107235
2013,Film & Video,successful,70791243.15,17926.37203,54307217.45,13752.1442,3949,831857
2013,Food,canceled,360101.94,2647.808382,4437793.37,32630.8336,136,3043
2013,Food,failed,2539482.19,2287.821793,26152180.64,23560.5231,1110,31368
2013,Food,successful,16190160.8,17869.93466,11351282.53,12529.00942,906,184578
2013,Games,canceled,4253897.08,6120.715223,56892803.23,81860.14853,695,71158
2013,Games,failed,8425416.23,4500.756533,82863776.89,44264.83808,1872,147403
2013,Games,successful,104809996.1,70865.44698,36876495.1,24933.39763,1479,1579081
2013,Journalism,canceled,9847.33,656.4886667,255055.35,17003.69,15,172
2013,Journalism,failed,86860.42,717.8547107,2484790.41,20535.45793,121,1308
2013,Journalism,successful,1116460.76,13783.46617,914814.18,11294.00222,81,17498
2013,Music,canceled,409785.8,1157.587006,5972975.29,16872.81155,354,5603
2013,Music,failed,2518475.08,904.2998492,31818273.08,11424.87364,2785,35662
2013,Music,successful,30508585.18,7938.741915,23866627.1,6210.415587,3843,448389
2013,Photography,canceled,68771.91,904.8935526,10905281.26,143490.5429,76,1161
2013,Photography,failed,614333.83,865.2589155,7908580.61,11138.84593,710,9810
2013,Photography,successful,3507623.37,8176.278252,2628840.49,6127.83331,429,44669
2013,Publishing,canceled,353603.45,796.4041667,6753101.33,15209.68768,444,4562
2013,Publishing,failed,2630696.95,785.2826716,41419707.38,12364.09176,3350,42964
2013,Publishing,successful,17823019.81,9206.105274,11485376.88,5932.52938,1936,312457
2013,Technology,canceled,1408158.07,7911.000393,13849115.04,77804.01708,178,9811
2013,Technology,failed,6665175.8,7548.330464,118226432.8,133891.7699,883,56380
2013,Technology,successful,59635029.26,94960.23768,20923945.88,33318.38516,628,518374
